what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1285114043628
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1285114060731
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1285114064093
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1285114077763
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285114081506
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285114082759
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285114083409
stopped,bundle,com.omondo.uml.std,3.5.0.v20090815,"com.omondo.uml.std",1285114084338
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.ide.ant",1285114084373
stopped,bundle,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui",1285114084374
stopped,bundle,com.omondo.uml.docgen,3.5.0.v20090815,"com.omondo.uml.docgen",1285114084408
stopped,bundle,com.omondo.uml.core,3.5.0.v20090815,"com.omondo.uml.core",1285114084408
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1285114084413
stopped,bundle,org.eclipse.emf.compare.ui,1.0.0.v200906220949,"org.eclipse.emf.compare.ui",1285114084442
stopped,bundle,org.eclipse.mylyn.java.tasks,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.java.tasks",1285114084459
stopped,bundle,org.eclipse.mylyn.java.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.java.ui",1285114084473
stopped,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1285114084474
stopped,bundle,com.objectaid.uml.cls.java,0.9.86,"com.objectaid.uml.cls.java",1285114084500
stopped,bundle,com.objectaid.uml.cls,0.9.86,"com.objectaid.uml.cls",1285114084500
stopped,bundle,com.objectaid.uml.java,0.9.86,"com.objectaid.uml.java",1285114084519
stopped,bundle,com.omondo.uml.wtp.ui,1.4.0.v20090815,"com.omondo.uml.wtp.ui",1285114084524
