what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1285113197693
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1285113197693
java.specification.version,sysinfo,,,"1.6",1285113197693
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1285113197693
java.version,sysinfo,,,"1.6.0_18",1285113197693
java.vm.info,sysinfo,,,"mixed mode",1285113197693
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1285113197693
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1285113197693
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1285113197693
java.vm.specification.version,sysinfo,,,"1.0",1285113197693
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1285113197693
java.vm.version,sysinfo,,,"16.0-b13",1285113197693
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285113199917
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285113200237
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1285113200291
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1285113202811
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1285113217813
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1285113218045
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1285113301165
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1285113306216
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285113337251
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285113377910
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285113395137
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285113437089
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285113499538
