what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1285151584525
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1285151584592
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1285151584624
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1285151584650
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1285151584678
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1285151584702
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1285151584717
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1285151584749
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.redo",1285151600441
started,bundle,org.eclipse.mylyn.java.tasks,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.java.tasks",1285151600699
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.redo",1285151601059
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.redo",1285151602382
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.redo",1285151602968
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285151605991
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285151840738
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285151841396
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285151869749
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1285151870978
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.file.newQuickMenu",1285151884000
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285151886724
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285151923776
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1285151931728
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285151933919
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285152011737
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1285152011760
